date,close
2022-11-08,99.25
2022-11-09,100.54
2022-11-10,102.12
2022-11-11,99.61
2022-11-14,98.05
2022-11-15,98.46
2022-11-16,98.26
2022-11-17,98.47
2022-11-18,97.53
2022-11-21,98.97
2022-11-22,100.29
2022-11-23,100.61
2022-11-24,102.45
2022-11-25,103.36
2022-11-28,102.36
2022-11-29,103.12
2022-11-30,101.97
2022-12-01,103.46
2022-12-02,103.62
2022-12-05,103.58
2022-12-06,102.81
2022-12-07,104.81
2022-12-08,104.8
2022-12-09,104.39
2022-12-12,104.09
2022-12-13,105.08
2022-12-14,105.83
2022-12-15,106.65
2022-12-16,107.5
2022-12-19,110.98
2022-12-20,110.56
2022-12-21,109.97
2022-12-22,108.91
2022-12-23,110.05
2022-12-26,111.99
2022-12-27,112.0
2022-12-28,110.87
2022-12-29,109.77
2022-12-30,110.95
2023-01-02,112.27
2023-01-03,113.3
2023-01-04,112.4
2023-01-05,112.93
2023-01-06,113.26
2023-01-09,113.75
2023-01-10,115.29
2023-01-11,115.79
2023-01-12,117.03
2023-01-13,117.27
2023-01-16,117.87
2023-01-17,119.03
2023-01-18,116.74
2023-01-19,116.32
2023-01-20,115.66
2023-01-23,114.72
2023-01-24,114.36
2023-01-25,116.86
2023-01-26,115.53
2023-01-27,117.18
2023-01-30,114.51
2023-01-31,114.03
2023-02-01,114.35
2023-02-02,115.33
2023-02-03,116.53
2023-02-06,117.87
2023-02-07,117.32
2023-02-08,116.59
2023-02-09,118.01
2023-02-10,117.71
2023-02-13,115.63
2023-02-14,113.81
2023-02-15,112.35
2023-02-16,113.12
2023-02-17,113.33
2023-02-20,114.41
2023-02-21,113.7
2023-02-22,113.92
2023-02-23,114.88
2023-02-24,114.34
2023-02-27,115.03
2023-02-28,113.91
2023-03-01,113.27
2023-03-02,112.61
2023-03-03,110.67
2023-03-06,111.35
2023-03-07,110.55
2023-03-08,110.48
2023-03-09,111.14
2023-03-10,111.75
2023-03-13,112.7
2023-03-14,112.44
2023-03-15,111.67
2023-03-16,111.44
2023-03-17,108.73
2023-03-20,106.43
2023-03-21,104.37
2023-03-22,102.81
2023-03-23,103.26
2023-03-24,101.84
2023-03-27,101.18
2023-03-28,102.91
2023-03-29,102.27
2023-03-30,103.2
2023-03-31,101.72
2023-04-03,101.29
2023-04-04,99.82
2023-04-05,99.21
2023-04-06,100.24
2023-04-07,97.7
2023-04-10,98.15
2023-04-11,98.34
2023-04-12,97.38
2023-04-13,95.28
2023-04-14,95.23
2023-04-17,94.38
2023-04-18,94.54
2023-04-19,94.42
2023-04-20,96.41
2023-04-21,95.94
2023-04-24,94.42
2023-04-25,94.51
2023-04-26,94.65
2023-04-27,96.31
2023-04-28,97.29
